{'name': 'SKOTTERUD', 'description': 'Wooden base sprung mattress, 120x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-wooden-base-sprung-mattress-medium-firm-dark-grey__0395435_pe562576_s5.jpg?f=xxs', 'price': '3 495', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD', 'description': 'Sprung base incl. mattress pad, 80x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-sprung-base-incl-mattress-pad-firm-tustna__0535949_pe649718_s5.jpg?f=xxs', 'price': '4 450', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD', 'description': 'Sprung base incl. mattress pad, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-sprung-base-incl-mattress-pad-medium-firm-tussoey__0535946_pe649720_s5.jpg?f=xxs', 'price': '8 305', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD', 'description': 'Sprung base incl. mattress pad, 90x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-sprung-base-incl-mattress-pad-medium-firm-tussoey__0396535_pe562824_s5.jpg?f=xxs', 'price': '4 490', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD', 'description': 'Sprung base incl. mattress pad, 80x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-sprung-base-incl-mattress-pad-medium-firm-tustna__0396537_pe562825_s5.jpg?f=xxs', 'price': '4 490', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD', 'description': 'Sprung base incl. mattress pad, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-sprung-base-incl-mattress-pad-medium-firm-tussoey__0535950_pe649721_s5.jpg?f=xxs', 'price': '5 850', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD', 'description': 'Sprung base incl. mattress pad, 105x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-sprung-base-incl-mattress-pad-firm-tustna__0536002_pe649786_s5.jpg?f=xxs', 'price': '5 750', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD', 'description': 'Sprung base incl. mattress pad, 80x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-sprung-base-incl-mattress-pad-medium-firm-tustna__0536002_pe649786_s5.jpg?f=xxs', 'price': '4 450', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD', 'description': 'Sprung base incl. mattress pad, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-sprung-base-incl-mattress-pad-firm-tussoey__0396525_pe562389_s5.jpg?f=xxs', 'price': '8 385', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD', 'description': 'Sprung base incl. mattress pad, 90x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-sprung-base-incl-mattress-pad-medium-firm-tustna__0535949_pe649718_s5.jpg?f=xxs', 'price': '4 750', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD', 'description': 'Sprung base incl. mattress pad, 80x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-sprung-base-incl-mattress-pad-firm-tustna__0396537_pe562825_s5.jpg?f=xxs', 'price': '4 490', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD', 'description': 'Sprung base incl. mattress pad, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-sprung-base-incl-mattress-pad-medium-firm-tussoey__0396525_pe562389_s5.jpg?f=xxs', 'price': '8 385', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD', 'description': 'Sprung base incl. mattress pad, 120x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-sprung-base-incl-mattress-pad-firm-tussoey__0535948_pe649713_s5.jpg?f=xxs', 'price': '5 750', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD', 'description': 'Sprung base incl. mattress pad, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-sprung-base-incl-mattress-pad-firm-tustna__0536004_pe649759_s5.jpg?f=xxs', 'price': '6 234', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD', 'description': 'Sprung base incl. mattress pad, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-sprung-base-incl-mattress-pad-firm-tussoey__0536140_pe649882_s5.jpg?f=xxs', 'price': '5 890', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD', 'description': 'Sprung base incl. mattress pad, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-sprung-base-incl-mattress-pad-firm-tussoey__0396543_pe562392_s5.jpg?f=xxs', 'price': '5 890', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD', 'description': 'Sprung base incl. mattress pad, 90x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-sprung-base-incl-mattress-pad-medium-firm-tussoey__0535948_pe649713_s5.jpg?f=xxs', 'price': '4 450', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD', 'description': 'Sprung base incl. mattress pad, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-sprung-base-incl-mattress-pad-firm-tussoey__0535946_pe649720_s5.jpg?f=xxs', 'price': '8 305', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD', 'description': 'Sprung base incl. mattress pad, 90x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-sprung-base-incl-mattress-pad-firm-tussoey__0536001_pe649757_s5.jpg?f=xxs', 'price': '4 450', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD', 'description': 'Sprung base incl. mattress pad, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-sprung-base-incl-mattress-pad-medium-firm-tustna__0536137_pe649883_s5.jpg?f=xxs', 'price': '9 185', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD', 'description': 'Sprung base incl. mattress pad, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-sprung-base-incl-mattress-pad-medium-firm-tussoey__0396543_pe562392_s5.jpg?f=xxs', 'price': '5 890', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD', 'description': 'Sprung base incl. mattress pad, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-sprung-base-incl-mattress-pad-medium-firm-tustna__0396528_pe562390_s5.jpg?f=xxs', 'price': '9 185', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD', 'description': 'Sprung base incl. mattress pad, 105x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-sprung-base-incl-mattress-pad-firm-tustna__0535949_pe649718_s5.jpg?f=xxs', 'price': '5 750', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD', 'description': 'Sprung base incl. mattress pad, 120x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-sprung-base-incl-mattress-pad-medium-firm-tussoey__0535948_pe649713_s5.jpg?f=xxs', 'price': '5 750', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-tustna-dark-grey__0392276_pe575868_s5.jpg?f=xxs', 'price': '11 629', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vagstranda-medium-firm-tustna-dark-grey__0419397_pe576253_s5.jpg?f=xxs', 'price': '12 329', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vagstranda-firm-tustna-dark-grey__0419397_pe576253_s5.jpg?f=xxs', 'price': '12 329', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-medium-firm-tustna-dark-grey__0392276_pe575868_s5.jpg?f=xxs', 'price': '11 629', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vatnestroem-medium-firm-tistedal-dark-grey__0392276_pe575868_s5.jpg?f=xxs', 'price': '15 245', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-medium-firm-tustna-dark-grey__0392278_pe574689_s5.jpg?f=xxs', 'price': '16 195', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vagstranda-medium-firm-tussoey-dark-grey__0419397_pe576253_s5.jpg?f=xxs', 'price': '11 945', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-medium-firm-tustna-dark-grey__0419397_pe576253_s5.jpg?f=xxs', 'price': '11 629', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-tustna-dark-grey__0419398_pe576256_s5.jpg?f=xxs', 'price': '16 195', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vagstranda-medium-firm-tustna-dark-grey__0419398_pe576256_s5.jpg?f=xxs', 'price': '16 995', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-medium-firm-tussoey-dark-grey__0392276_pe575868_s5.jpg?f=xxs', 'price': '11 245', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-medium-firm-tussoey-dark-grey__0419397_pe576253_s5.jpg?f=xxs', 'price': '11 245', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vatnestroem-firm-tistedal-dark-grey__0392276_pe575868_s5.jpg?f=xxs', 'price': '15 245', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vagstranda-firm-tussoey-dark-grey__0419397_pe576253_s5.jpg?f=xxs', 'price': '11 945', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vagstranda-medium-firm-tustna-dark-grey__0392276_pe575868_s5.jpg?f=xxs', 'price': '12 329', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vagstranda-medium-firm-tustna-dark-grey__0392278_pe574689_s5.jpg?f=xxs', 'price': '16 995', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vagstranda-firm-tustna-dark-grey__0419398_pe576256_s5.jpg?f=xxs', 'price': '16 995', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-tussoey-dark-grey__0392276_pe575868_s5.jpg?f=xxs', 'price': '11 245', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-tustna-dark-grey__0392278_pe574689_s5.jpg?f=xxs', 'price': '16 195', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vagstranda-medium-firm-tussoey-dark-grey__0392276_pe575868_s5.jpg?f=xxs', 'price': '11 945', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-tustna-dark-grey__0419397_pe576253_s5.jpg?f=xxs', 'price': '11 629', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vatnestroem-medium-firm-tistedal-dark-grey__0419397_pe576253_s5.jpg?f=xxs', 'price': '15 245', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vagstranda-firm-tustna-dark-grey__0392278_pe574689_s5.jpg?f=xxs', 'price': '16 995', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-tussoey-dark-grey__0419397_pe576253_s5.jpg?f=xxs', 'price': '11 245', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vagstranda-firm-tussoey-dark-grey__0392276_pe575868_s5.jpg?f=xxs', 'price': '11 945', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-medium-firm-tustna-dark-grey__0419398_pe576256_s5.jpg?f=xxs', 'price': '16 195', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vatnestroem-firm-tistedal-dark-grey__0419397_pe576253_s5.jpg?f=xxs', 'price': '15 245', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 90x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-talgje__0642069_pe700872_s5.jpg?f=xxs', 'price': '3 190', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 120x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-tuddal__0642102_pe700895_s5.jpg?f=xxs', 'price': '4 890', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 120x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-talgje__0536016_pe649781_s5.jpg?f=xxs', 'price': '4 350', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 90x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-talgje__0536016_pe649781_s5.jpg?f=xxs', 'price': '3 150', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 120x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-tuddal__0536017_pe649765_s5.jpg?f=xxs', 'price': '4 850', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 120x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-talgje__0642069_pe700872_s5.jpg?f=xxs', 'price': '4 390', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 105x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-tuddal__0536017_pe649765_s5.jpg?f=xxs', 'price': '4 350', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 105x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-talgje__0536016_pe649781_s5.jpg?f=xxs', 'price': '3 850', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 80x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-talgje__0642069_pe700872_s5.jpg?f=xxs', 'price': '2 990', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 90x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-talgje__0642038_pe700846_s5.jpg?f=xxs', 'price': '3 190', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 90x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-talgje__0535963_pe649728_s5.jpg?f=xxs', 'price': '3 150', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 120x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-talgje__0535963_pe649728_s5.jpg?f=xxs', 'price': '4 350', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 105x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-tuddal__0642102_pe700895_s5.jpg?f=xxs', 'price': '4 390', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 120x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-talgje__0642038_pe700846_s5.jpg?f=xxs', 'price': '4 390', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 80x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-talgje__0642038_pe700846_s5.jpg?f=xxs', 'price': '2 990', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 105x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-talgje__0642069_pe700872_s5.jpg?f=xxs', 'price': '3 890', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 105x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-talgje__0642038_pe700846_s5.jpg?f=xxs', 'price': '3 890', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 120x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-tuddal__0642073_pe700876_s5.jpg?f=xxs', 'price': '4 850', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 80x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-tuddal__0536017_pe649765_s5.jpg?f=xxs', 'price': '3 350', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 80x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-tuddal__0642102_pe700895_s5.jpg?f=xxs', 'price': '3 390', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 80x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-tuddal__0642073_pe700876_s5.jpg?f=xxs', 'price': '3 350', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 105x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-tuddal__0642073_pe700876_s5.jpg?f=xxs', 'price': '4 350', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 80x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-talgje__0536016_pe649781_s5.jpg?f=xxs', 'price': '2 950', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 80x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-tuddal__0642087_pe700886_s5.jpg?f=xxs', 'price': '3 390', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 80x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-talgje__0535963_pe649728_s5.jpg?f=xxs', 'price': '2 950', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 105x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-talgje__0535963_pe649728_s5.jpg?f=xxs', 'price': '3 850', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 105x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-tuddal__0642087_pe700886_s5.jpg?f=xxs', 'price': '4 390', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SKÅRER', 'description': 'Wooden base sprung mattress, 90x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skarer-wooden-base-sprung-mattress-medium-firm-dark-beige__0395534_pe562568_s5.jpg?f=xxs', 'price': '2 495', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKÅRER', 'description': 'Wooden base sprung mattress, 90x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skarer-wooden-base-sprung-mattress-firm-dark-beige__0395534_pe562568_s5.jpg?f=xxs', 'price': '2 495', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKÅRER', 'description': 'Wooden base sprung mattress, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skarer-wooden-base-sprung-mattress-medium-firm-dark-beige__0425651_pe581468_s5.jpg?f=xxs', 'price': '3 495', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKÅRER', 'description': 'Wooden base sprung mattress, 120x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skarer-wooden-base-sprung-mattress-firm-dark-beige__0395534_pe562568_s5.jpg?f=xxs', 'price': '3 295', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKÅRER', 'description': 'Wooden base sprung mattress, 105x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skarer-wooden-base-sprung-mattress-medium-firm-dark-beige__0395534_pe562568_s5.jpg?f=xxs', 'price': '2 995', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKÅRER', 'description': 'Wooden base sprung mattress, 80x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skarer-wooden-base-sprung-mattress-medium-firm-dark-beige__0395534_pe562568_s5.jpg?f=xxs', 'price': '2 295', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKÅRER', 'description': 'Wooden base sprung mattress, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skarer-wooden-base-sprung-mattress-firm-dark-beige__0425651_pe581468_s5.jpg?f=xxs', 'price': '3 495', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKÅRER', 'description': 'Wooden base sprung mattress, 80x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skarer-wooden-base-sprung-mattress-firm-dark-beige__0395534_pe562568_s5.jpg?f=xxs', 'price': '2 295', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKÅRER', 'description': 'Wooden base sprung mattress, 105x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skarer-wooden-base-sprung-mattress-firm-dark-beige__0395534_pe562568_s5.jpg?f=xxs', 'price': '2 995', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'LILLFJÄLLET', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/lillfjaellet-divan-bed-vagstranda-firm-tussoey-tibbleby-green__1259532_pe926716_s5.jpg?f=xxs', 'price': '15 195', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'LILLFJÄLLET', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/lillfjaellet-divan-bed-vagstranda-medium-firm-tussoey-tibbleby-green__1259532_pe926716_s5.jpg?f=xxs', 'price': '15 195', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'STUVLAND', 'description': 'Wooden base sprung mattress, 90x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/stuvland-wooden-base-sprung-mattress-medium-firm-natural__0558976_pe665205_s5.jpg?f=xxs', 'price': '6 795', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'STUVLAND', 'description': 'Wooden base sprung mattress, 120x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/stuvland-wooden-base-sprung-mattress-medium-firm-natural__0558974_pe665206_s5.jpg?f=xxs', 'price': '8 995', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
